insecticide	souche	dose	tot	morts	replicate	date	color
DDT	Slab	0.1	20	20	1	21/6/18	1
DDT	Nimp	0.1	40	2	1	21/6/18	4
DDT	Nimp	1	40	35	1	21/6/18	4
DDT	Slab	0.003	40	0	2	22/6/18	1
DDT	Slab	0.005	40	0	2	22/06/18	1
DDT	Slab	0.007	40	3	2	22/06/18	1
DDT	Slab	0.01	40	3	2	22/06/18	1
DDT	Slab	0.03	40	20	2	22/06/18	1
DDT	Nimp	0.07	40	1	2	22/6/18	4
DDT	Nimp	0.1	40	1	2	22/06/18	4
DDT	Nimp	0.3	39	3	2	22/06/18	4
DDT	Nimp	0.5	39	17	2	22/06/18	4
DDT	Nimp	0.7	39	20	2	22/06/18	4
DDT	Nimp	1	40	33	2	22/06/18	4
DDT	Nimp	3	40	40	2	22/06/18	4
