insecticide	souche	dose	tot	morts	replicate	date	color
Diel	SLAB	0.01	20	20	1	21/6/18	1
Diel	NIMP	0.001	40	16	1	21/6/18	4
Diel	NIMP	0.01	40	38	1	21/6/18	4
Diel	NIMP	0.1	40	40	1	21/6/18	4
Diel	NIMP	1	40	40	1	21/6/18	4
Diel	SLAB	0.0003	40	1	2	22/6/18	1
Diel	SLAB	0.0005	40	3	2	22/06/18	1
Diel	SLAB	0.0007	40	10	2	22/06/18	1
Diel	SLAB	0.001	39	15	2	22/06/18	1
Diel	SLAB	0.003	40	40	2	22/06/18	1
Diel	SLAB	0.005	40	40	2	22/06/18	1
Diel	NIMP	0.0007	40	15	2	22/6/18	4
Diel	NIMP	0.001	40	10	2	22/06/18	4
Diel	NIMP	0.003	40	36	2	22/06/18	4
Diel	NIMP	0.005	40	39	2	22/06/18	4
Diel	NIMP	0.007	39	38	2	22/06/18	4
Diel	NIMP	0.01	40	40	2	22/06/18	4
Diel	NIMP	0.03	40	40	2	22/06/18	4
