souche	dose	mort
MauriceChlorpy30/03	0.1	0.2
MauriceChlorpy30/03	0.3	0.25
MauriceChlorpy30/03	0.5	0.325
MauriceChlorpy30/03	0.7	0.2
MauriceChlorpy30/03	1	0.35
MauriceChlorpy30/03	3	0.375
MauriceChlorpy30/03	5	0.45
MauriceChlorpy30/03	7	0.6
MauriceChlorpy30/03	10	0.8
SLABChlorpy	0.0001	0.006
SLABChlorpy	0.0003	0.040441176
SLABChlorpy	0.0005	0.637362637
SLABChlorpy	0.0007	0.941818182
SLABChlorpy	0.001	0.996402878
MayotteChlorpy	0.1	0.025641026
MayotteChlorpy	0.3	0.025
MayotteChlorpy	0.5	0.051282051
MayotteChlorpy	0.7	0.1
MayotteChlorpy	1	0.25
MayotteChlorpy	3	0.425
MayotteChlorpy	5	0.525
MayotteChlorpy	7	0.55
MayotteChlorpy	10	0.871794872
MauriceChlorpy16/07	0.003	0.1
MauriceChlorpy16/07	0.005	0.325
MauriceChlorpy16/07	0.007	0.675
MauriceChlorpy16/07	0.01	0.575
MauriceChlorpy16/07	0.03	0.775
MauriceChlorpy16/07	0.05	0.925
MauriceChlorpy16/07	0.07	0.9
MauriceChlorpy16/07	0.1	0.95
MauriceChlorpy16/07	0.3	0.994
MauriceChlorpy16/07	1	0.994
MauriceChlorpy02/11	0.01	0.05
MauriceChlorpy02/11	0.1	0.375
MauriceChlorpy02/11	1	0.525
MauriceChlorpy02/11	10	0.8
