souche	dose	mort
Slab	0.0003	0.006
Slab	0.0005	0.053797468
Slab	0.0007	0.125
Slab	0.001	0.492163009
Slab	0.0015	0.895683453
Slab	0.002	0.971698113
Slab	0.0025	0.985663082
MauricePerm21/07	0.03	0.075
MauricePerm21/07	0.05	0.425
MauricePerm21/07	0.07	0.825
MauricePerm21/07	0.1	0.9
MauricePerm21/07	0.3	0.994
MauricePerm21/07	0.5	0.975
MauricePerm21/07	0.7	0.975
MauricePerm21/07	1	0.95
MauricePerm21/07	3	0.994
MauricePerm21/07	5	0.994
MauricePerm21/07	7	0.994
MauricePerm21/07	10	0.994
MauricePerm09/11	0.01	0.006
MauricePerm09/11	0.1	0.975
MauricePerm09/11	1	0.975
MauricePerm09/11	10	0.994
MauricePerm10/11	0.001	0.006
MauricePerm10/11	0.01	0.006
MauricePerm10/11	0.03	0.225
MauricePerm10/11	0.05	0.5
MauricePerm10/11	0.07	0.6
MauricePerm10/11	0.1	0.9
MauricePerm10/11	0.3	0.725
MauricePerm10/11	0.5	0.95
MauricePerm10/11	0.7	0.875
MauricePerm10/11	1	0.948717949
MauricePerm10/11	3	0.994
MauricePerm07/12	0.01	0.05
MauricePerm07/12	0.03	0.25
MauricePerm07/12	0.05	0.675
MauricePerm07/12	0.07	0.85
MauricePerm07/12	0.1	0.925
MauricePerm07/12	0.3	0.875
MauricePerm07/12	0.5	0.825
MauricePerm07/12	0.7	0.95
MauricePerm07/12	1	0.875
MauricePerm07/12	3	0.994
