souche	dose	mort
MauricePermDDT30/03	1	0.15
MauricePermDDT30/03	3	0.275
MauricePermDDT30/03	5	0.525
MauricePermDDT30/03	7	0.85
MauricePermDDT30/03	10	0.8
MauricePermDDT30/03	30	0.95
MauricePermDDT30/03	50	0.994
MauricePermDDT30/03	70	0.994
MauricePermDDT30/03	100	0.994
SlabDDT	0.01	0.825
SlabDDT	0.003	0.006
SlabDDT	0.005	0.125
SlabDDT	0.007	0.575
SlabDDT	0.01	0.8
SlabDDT	0.03	0.994
MayotteDDT	1	0.006
MayotteDDT	3	0.15
MayotteDDT	5	0.452380952
MayotteDDT	7	0.725
MayotteDDT	10	0.775
MayotteDDT	30	0.975
MayotteDDT	50	0.994
SlabDDT/DMC	0.007	0.006
SlabDDT/DMC	0.01	0.275
SlabDDT/DMC	0.03	0.725
SlabDDT/DMC	0.05	0.975
SlabDDT/DMC	0.07	0.994
MayotteDDT/DMC	0.7	0.025
MayotteDDT/DMC	1	0.0375
MayotteDDT/DMC	3	0.105263158
MayotteDDT/DMC	5	0.219512195
MayotteDDT/DMC	7	0.275
MayotteDDT/DMC	10	0.432098765
MayotteDDT/DMC	30	0.804878049
MayotteDDT/DMC	50	0.95
MayotteDDT/DMC	70	0.994
MayotteDDT/DMC	100	0.994
MauricePermDDTDMC30/03	0.5	0.225
MauricePermDDTDMC30/03	0.7	0.25
MauricePermDDTDMC30/03	1	0.4
MauricePermDDTDMC30/03	3	0.45
MauricePermDDTDMC30/03	5	0.487179487
MauricePermDDTDMC30/03	7	0.65
MauricePermDDTDMC30/03	10	0.804878049
MauricePermDDTDMC30/03	30	0.85
MauricePermDDTDMC30/03	50	0.975
MauricePermDDTDMC30/03	70	0.994
MauricePermDDTDMC30/03	100	0.994
