souche	dose	mort
SLAB	0.0001	0.006
SLAB	0.0003	0.040441176
SLAB	0.0005	0.637362637
SLAB	0.0007	0.941818182
SLAB	0.001	0.996402878
MayotteChlorpy16/07	0.01	0.006
MayotteChlorpy16/07	0.03	0.05
MayotteChlorpy16/07	0.05	0.275
MayotteChlorpy16/07	0.07	0.325
MayotteChlorpy16/07	0.1	0.378378378
MayotteChlorpy16/07	0.3	0.472222222
MayotteChlorpy16/07	1	0.575
MayotteChlorpy16/07	10	0.85
MayotteChlorpy03/11	0.01	0.006
MayotteChlorpy03/11	0.1	0.006
MayotteChlorpy03/11	1	0.575
MayotteChlorpy03/11	10	0.975
MayotteChlorpy04/11	0.1	0.025641026
MayotteChlorpy04/11	0.3	0.025
MayotteChlorpy04/11	0.5	0.051282051
MayotteChlorpy04/11	0.7	0.1
MayotteChlorpy04/11	1	0.25
MayotteChlorpy04/11	3	0.425
MayotteChlorpy04/11	5	0.525
MayotteChlorpy04/11	7	0.55
MayotteChlorpy04/11	10	0.871794872
