souche	dose	mort
SlabPerm	0.0003	0.006
SlabPerm	0.0005	0.053797468
SlabPerm	0.0007	0.125
SlabPerm	0.001	0.492163009
SlabPerm	0.0015	0.895683453
SlabPerm	0.002	0.971698113
SlabPerm	0.0025	0.985663082
SlabPermPB	0.0001	0.125
SlabPermPB	0.001	0.975
SlabPermPB	0.00007	0.006
SlabPermPB	0.0001	0.006
SlabPermPB	0.0003	0.2
SlabPermPB	0.0005	0.675
SlabPermPB	0.0007	0.95
SlabPermPB	0.001	0.994
SlabPermPB	0.003	0.994
MayottePerm	0.05	0.006
MayottePerm	0.07	0.333333333
MayottePerm	0.1	0.325
MayottePerm	0.3	0.8
MayottePerm	0.5	0.7
MayottePerm	0.7	0.875
MayottePerm	1	0.925
MayottePerm	3	0.994
MayottePerm	5	0.994
MayottePermPB	0.01	0.025
MayottePermPB	0.1	0.95
MayottePermPB	1	0.994
MayottePermPB	0.01	0.006
MayottePermPB	0.03	0.175
MayottePermPB	0.05	0.5
MayottePermPB	0.07	0.725
MayottePermPB	0.1	0.825
MayottePermPB	0.3	0.975
