insecticide	souche	dose	tot	morts	replicate	date	color
Perm	Slab	0.01	20	20	1	21/6/18	1
Perm	Nimp	0.01	40	33	1	21/6/18	4
Perm	Nimp	0.1	40	40	1	21/6/18	4
Perm	Nimp	1	40	40	1	21/6/18	4
Perm	Slab	0.0003	40	14	2	22/6/18	1
Perm	Slab	0.0005	40	25	2	22/06/18	1
Perm	Slab	0.0007	40	38	2	22/06/18	1
Perm	Slab	0.001	40	40	2	22/06/18	1
Perm	Slab	0.002	40	39	2	22/06/18	1
Perm	Slab	0.003	40	40	2	22/06/18	1
Perm	Nimp	0.0007	39	1	2	22/6/18	4
Perm	Nimp	0.001	38	0	2	22/06/18	4
Perm	Nimp	0.003	37	4	2	22/06/18	4
Perm	Nimp	0.005	40	20	2	22/06/18	4
Perm	Nimp	0.007	38	19	2	22/06/18	4
Perm	Nimp	0.01	37	23	2	22/06/18	4
Perm	Nimp	0.03	40	38	2	22/06/18	4
Perm	Nimp	0.05	40	40	2	22/06/18	4
