insecticide	souche	dose	tot	morts	replicate	date	color
Tem	SLAB	0.01	20	20	1	21/6/18	1
Tem	Nimp	0.001	40	36	1	21/6/18	4
Tem	Nimp	0.01	40	40	1	21/6/18	4
Tem	Nimp	0.1	40	40	1	21/6/18	4
Tem	Nimp	1	40	40	1	21/6/18	4
Tem	Nimp	0.0003	39	5	2	22/6/18	1
Tem	Nimp	0.0007	38	1	2	22/06/18	1
Tem	Nimp	0.001	39	6	2	22/06/18	1
Tem	Nimp	0.002	40	40	2	22/06/18	1
Tem	Nimp	0.003	40	40	2	22/06/18	1
Tem	Nimp	0.005	40	40	2	22/06/18	1
Tem	SLAB	0.0003	20	1	2	22/6/18	4
Tem	SLAB	0.0007	40	24	2	22/06/18	4
Tem	SLAB	0.001	40	32	2	22/06/18	4
Tem	SLAB	0.002	40	40	2	22/06/18	4
Tem	SLAB	0.003	40	40	2	22/06/18	4
Tem	SLAB	0.005	40	40	2	22/06/18	4
